,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,immune_05,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25
0,1096.6999999999998,0.0,404.0,358.85,428.25,1493.0,467.0,4.0,2.0,11.0,143.1,2339.25,2020-03-12,9.0,6.0,317.75,3505.05,0.0,480.5,1821.0,653.75,337.1,406.0,0.0,479.1,0.0,1045.4499999999998,0.0,5.0,2.0,0.0,4.0,539.25,692.8499999999999,16.049999999999997,379.75
1,1360.05,0.0,500.5,433.8,544.0,1801.0,686.0,4.0,2.0,13.0,201.5,2713.5,2020-03-13,10.0,7.0,473.0,3947.3999999999996,0.0,715.0,2273.5,951.5,502.5,593.0,0.0,625.35,1.0,1520.2999999999997,0.0,6.0,3.0,0.0,4.0,778.25,1005.75,18.0,474.0
2,1555.9,0.0,613.0,512.75,683.5,2081.5,816.5,6.0,2.0,14.0,236.95,3063.5,2020-03-14,11.0,8.0,563.75,4318.349999999999,0.0,849.0,2566.5,1153.0,624.2,725.75,0.0,785.4,1.0,1877.7499999999998,0.0,6.0,3.0,0.0,4.0,948.5,1190.6499999999999,21.049999999999997,567.0
3,1799.8,0.0,739.0,605.95,827.0,2374.0,980.5,6.0,2.0,15.0,258.75,3422.5,2020-03-15,12.0,9.0,604.75,4752.2,0.0,903.5,2902.0,1304.0,746.05,881.75,0.0,976.4,1.0,2026.5499999999995,0.0,6.049999999999997,3.0,0.0,5.0,1146.0,1438.3,22.0,678.0
4,2040.9,0.0,885.5,723.5,985.25,2698.75,1175.5,6.0,3.0,16.25,338.35,3803.25,2020-03-16,14.0,10.0,684.25,5210.95,0.0,1030.5,3263.0,1455.25,862.9499999999999,1043.0,1.0,1173.5,1.0,2277.05,0.0,6.049999999999997,4.0,0.0,5.0,1387.25,1713.6,25.0,811.0
5,2262.05,0.0,1045.0,841.6,1159.5,2936.75,1404.5,9.0,3.0,21.0,392.05,4125.5,2020-03-17,16.0,12.0,758.75,5660.15,0.0,1131.0,3551.0,1516.0,1028.8,1225.5,1.0,1393.0,2.0,2399.4500000000003,0.0,8.0,5.0,0.0,6.0,1647.75,1995.4499999999998,28.0,951.5
6,2489.2999999999997,0.0,1212.0,962.8499999999999,1354.75,3251.25,1659.0,10.0,4.0,26.0,446.3,4479.75,2020-03-18,19.0,15.75,828.5,6142.7,0.0,1260.0,3843.5,1653.5,1215.2,1447.75,2.0,1641.1999999999998,3.0,2555.25,1.0,9.0,6.0,0.0,7.0,1948.75,2358.05,33.05,1105.25
7,2745.7,0.0,1393.0,1087.7,1563.5,3579.0,1927.0,14.0,5.0,31.0,463.84999999999997,4899.25,2020-03-19,24.0,20.75,884.0,6637.2,1.0,1325.0,4189.5,1788.0,1409.3,1676.0,2.049999999999997,1918.05,3.95,2744.15,1.0,12.0,7.0,0.0,9.0,2268.75,2750.0499999999997,43.05,1263.75
8,2952.2999999999997,0.0,1581.0,1221.6999999999998,1788.75,3844.75,2218.0,19.0,6.75,39.0,487.9,5291.5,2020-03-20,32.0,25.0,944.75,7099.6,1.0,1369.0,4514.5,1870.25,1609.55,1931.0,3.049999999999997,2183.45,5.0,2796.7,2.0,14.0,8.5,1.0,11.0,2601.0,3155.75,51.099999999999994,1434.25
9,3138.6,0.0,1759.5,1358.4,2027.75,4068.0,2522.0,22.0,9.0,47.25,465.70000000000005,5620.5,2020-03-21,37.0,32.0,930.0,7507.05,1.5,1422.5,4774.0,1929.0,1837.9,2188.5,4.0,2454.25,5.95,2835.7,2.0,18.0,10.5,1.0,13.0,2942.5,3550.1499999999996,61.19999999999999,1597.0
10,3304.4500000000003,0.0,1965.0,1494.85,2258.5,4270.0,2850.0,28.85,10.0,56.25,520.9,5898.25,2020-03-22,45.0,38.0,966.5,7846.25,2.0,1476.5,5016.5,1980.0,2045.6,2462.75,5.0,2704.2,7.0,2862.0499999999997,3.0,19.0,13.0,1.0,15.0,3263.0,3917.8999999999996,72.05,1757.5
11,3452.7999999999997,0.0,2171.0,1631.4,2510.75,4453.75,3179.0,33.85,12.0,65.0,552.75,6168.5,2020-03-23,53.5,45.0,983.25,8176.349999999999,3.0,1510.0,5272.5,2020.0,2269.0499999999997,2747.75,5.049999999999997,2990.3,8.95,2855.149999999999,4.0,21.049999999999997,15.0,2.0,18.0,3657.5,4314.7,81.14999999999999,1911.5
12,3597.7000000000003,1.0,2366.0,1777.0,2745.25,4617.25,3500.5,39.95,14.0,73.0,548.2,6438.5,2020-03-24,60.0,53.0,943.5,8455.35,3.0,1492.0,5453.0,2035.5,2516.3999999999996,3074.25,7.0,3279.9999999999995,11.0,2846.5999999999995,5.0,25.0,17.0,2.0,20.0,4083.0,4688.999999999999,90.1,2074.0
13,3682.0,2.0,2564.5,1944.15,2986.0,4727.25,3845.5,46.949999999999996,17.0,82.0,519.55,6670.75,2020-03-25,69.0,59.75,972.75,8713.15,4.0,1466.0,5636.5,2033.5,2767.9,3339.25,8.049999999999997,3581.3999999999996,12.0,2831.3499999999995,6.0,27.0,19.0,3.0,22.0,4490.25,5123.949999999999,102.0,2236.5
14,3741.6,3.0,2762.0,2091.75,3178.5,4816.5,4188.0,53.0,19.0,88.5,483.75000000000006,6845.0,2020-03-26,76.0,65.75,959.0,8933.1,5.0,1412.5,5793.5,1940.5,3054.25,3629.5,10.0,3869.7999999999997,13.95,2813.249999999999,7.0,31.0,21.0,4.0,25.0,4867.25,5607.799999999999,109.05,2403.0
15,3834.25,3.0,2937.0,2245.35,3402.25,4914.5,4539.5,55.95,20.75,99.0,472.2,7015.5,2020-03-27,83.0,70.75,930.5,9107.15,7.0,1362.5,5910.0,1871.25,3292.7000000000003,3928.25,11.0,4164.3,14.950000000000001,2820.2499999999995,8.25,32.05,23.0,5.0,27.0,5261.25,6073.049999999999,118.0,2568.0
16,3878.8,4.95,3113.5,2378.05,3625.25,4948.0,4858.5,60.95,22.0,106.75,449.9,7161.75,2020-03-28,91.5,76.0,880.75,9236.95,8.0,1312.0,5967.0,1801.0,3518.0,4201.0,14.0,4444.400000000001,17.0,2805.899999999999,10.0,35.05,26.0,7.0,29.0,5605.75,6554.599999999999,129.05,2721.5
17,3873.9500000000003,6.0,3296.0,2493.8500000000004,3840.75,4997.5,5168.0,67.95,23.0,112.5,427.65,7260.0,2020-03-29,98.0,81.0,852.5,9367.05,10.0,1278.5,6032.5,1735.25,3756.2,4472.25,17.0,4722.0,18.950000000000003,2829.75,13.0,38.0,27.0,8.0,31.0,5963.0,7062.75,137.09999999999997,2875.5
18,3868.9,7.0,3481.5,2599.95,4046.75,5040.25,5482.0,71.0,25.0,117.0,418.55,7284.5,2020-03-30,103.0,86.0,842.5,9446.6,13.0,1236.5,6057.0,1698.25,4011.9,4733.25,20.0,4995.799999999999,19.95,2702.4999999999995,15.0,39.0,29.5,10.0,33.0,6321.75,7510.7,145.04999999999998,3026.75
19,3824.1,9.0,3632.5,2686.6499999999996,4227.25,5073.0,5777.5,74.95,26.0,122.0,436.0,7235.5,2020-03-31,107.5,92.0,828.25,9590.3,15.0,1178.5,6059.0,1656.0,4224.25,4977.75,22.099999999999994,5242.599999999999,20.95,2640.15,17.0,40.0,30.0,12.0,34.25,6634.75,7839.349999999999,151.25,3168.75
20,3792.2,10.0,3772.0,2767.85,4412.25,5147.75,6064.5,76.95,28.0,125.25,410.5,7270.0,2020-04-01,110.5,97.5,800.25,9672.15,17.0,1132.5,6057.0,1611.5,4442.9,5206.25,25.049999999999997,5482.75,22.0,2552.0,20.0,42.0,31.0,14.0,36.0,6961.75,8188.4,160.05,3319.25
21,3759.85,11.0,3912.0,2854.0,4607.75,5135.25,6327.5,81.0,29.0,128.25,419.8,7170.75,2020-04-02,113.5,99.5,757.75,9724.300000000001,19.0,1088.0,6006.5,1549.25,4647.1,5419.25,28.049999999999997,5721.799999999999,23.0,2450.2999999999997,22.0,43.05,32.0,16.0,37.0,7339.0,8463.849999999999,167.05,3435.25
22,3735.6000000000004,13.95,4043.0,2982.65,4775.25,5097.5,6590.5,84.95,30.0,131.25,359.45,7125.25,2020-04-03,116.5,100.75,727.0,9678.0,22.0,1023.5,5961.5,1464.75,4861.65,5614.5,30.049999999999997,5948.5,24.0,2345.6,25.0,47.0,33.0,19.0,37.25,7656.75,8911.099999999999,163.10000000000002,3536.0
23,3648.6499999999996,16.9,4187.0,3087.0499999999997,4936.25,5040.75,6839.0,87.95,30.0,136.0,364.95000000000005,7127.0,2020-04-04,118.0,102.75,689.0,9653.35,24.0,983.0,5906.5,1414.0,5036.5,5815.5,33.0,6177.8,25.0,2182.6,29.0,46.0,33.5,20.0,38.0,7916.25,9199.85,165.09999999999997,3651.0
24,3610.0499999999997,18.0,4327.0,3160.05,5095.25,4941.5,7063.0,87.85000000000001,30.0,134.5,358.75000000000006,7146.25,2020-04-05,118.0,104.0,655.5,9654.8,27.5,936.0,5856.5,1343.5,5206.0,6015.75,37.0,6366.35,24.0,2108.4,32.0,46.05,33.0,23.0,39.0,8220.5,9491.15,165.2,3757.25
25,3553.15,20.9,4449.5,3222.75,5256.0,4841.75,7288.0,86.0,30.75,136.25,334.8,7134.0,2020-04-06,121.0,105.75,634.75,9629.1,30.0,898.5,5764.5,1308.25,5365.150000000001,6214.25,39.05,6507.0,23.95,2048.2,35.0,47.0,33.0,25.0,39.0,8467.5,9736.649999999998,167.0,3845.75
26,3436.5499999999997,22.0,4559.5,3280.8,5438.25,4757.75,7506.5,88.85,30.0,137.0,339.3,7074.5,2020-04-07,120.5,106.0,582.75,9479.25,33.0,835.5,5658.5,1285.5,5517.75,6393.0,44.0,6689.099999999999,24.0,1942.35,38.25,45.0,34.0,28.0,39.0,8703.25,9980.899999999998,165.14999999999998,3945.0
27,3378.25,24.95,4654.0,3354.75,5562.75,4707.75,7711.5,88.0,30.0,138.0,305.25,7012.0,2020-04-08,119.0,106.0,580.25,9284.599999999999,35.5,796.5,5548.5,1209.0,5665.150000000001,6576.75,47.05,6880.7,23.95,1839.7999999999997,41.0,44.05,34.0,30.75,39.0,8922.25,10190.8,166.05,4045.75
28,3323.0,28.0,4760.5,3432.6000000000004,5692.25,4634.0,7903.5,83.0,29.0,135.0,273.65000000000003,6894.0,2020-04-09,118.5,103.0,554.5,9172.75,38.0,756.0,5450.5,1144.75,5780.4,6743.75,51.05,7071.099999999999,24.0,1741.5999999999997,45.0,43.05,33.5,34.0,38.25,9163.25,10397.099999999999,164.1,4159.0
29,3240.8999999999996,31.0,4852.0,3509.25,5814.25,4545.25,8066.5,83.85,29.0,133.25,259.75,6767.0,2020-04-10,116.0,101.0,520.5,9102.35,42.0,719.5,5343.0,1111.25,5904.2,6903.25,55.0,7226.9,24.95,1704.05,47.0,43.05,33.0,36.75,37.25,9420.0,10674.3,164.0,4230.5
30,3176.0499999999997,33.949999999999996,4937.5,3576.35,5929.75,4451.0,8247.0,82.89999999999999,28.0,132.25,241.75,6698.0,2020-04-11,114.5,99.75,484.0,8995.2,45.5,670.5,5261.0,1059.75,5985.25,7044.75,59.0,7420.799999999999,23.0,1646.8,50.25,43.05,34.0,39.0,37.0,9642.25,11013.8,163.25,4323.5
31,3094.1000000000004,36.0,5014.5,3635.85,6035.0,4342.0,8429.5,83.85,28.0,132.0,228.95000000000002,6597.5,2020-04-12,113.5,97.75,457.25,8876.9,46.5,630.5,5123.0,967.5,6101.150000000001,7188.0,64.0,7611.599999999999,22.950000000000003,1596.4499999999998,53.0,43.05,32.5,41.0,36.25,9883.75,11303.6,162.25,4388.5
32,2994.7,37.95,5089.5,3701.1,6133.0,4227.25,8604.5,80.85000000000001,27.75,130.25,221.70000000000002,6477.75,2020-04-13,110.0,96.75,434.75,8771.05,49.5,593.5,5017.0,907.25,6206.0,7306.25,67.0,7802.299999999999,23.0,1539.85,56.0,42.05,32.0,44.0,37.0,10138.0,11555.65,159.10000000000002,4443.75
33,2918.25,39.95,5153.0,3749.75,6224.0,4133.0,8761.0,78.0,27.0,127.75,207.25,6375.5,2020-04-14,104.5,94.5,416.25,8639.849999999999,53.0,559.5,4909.0,861.5,6315.65,7407.25,70.1,7977.049999999999,21.0,1503.4499999999998,60.0,41.05,31.5,46.75,36.0,10376.5,11832.65,150.25,4514.75
34,2863.5,41.949999999999996,5226.0,3790.95,6323.25,4029.0,8919.0,78.85,27.0,124.0,202.5,6278.5,2020-04-15,103.0,91.75,392.0,8505.15,56.5,528.0,4799.5,822.75,6460.55,7541.75,75.0,8072.25,21.950000000000003,1446.1999999999998,63.0,41.0,31.0,49.0,36.0,10581.5,12108.699999999999,150.0,4582.5
35,2797.55,45.0,5299.5,3834.0,6390.25,3930.75,9086.0,73.9,27.0,121.0,175.15,6179.5,2020-04-16,104.5,88.75,376.0,8404.4,58.0,509.0,4701.0,766.0,6562.900000000001,7669.0,77.0,8152.249999999999,21.0,1424.05,66.0,41.0,30.0,52.0,35.0,10774.25,12354.8,150.25,4651.75
36,2709.25,46.949999999999996,5360.5,3882.85,6454.5,3840.75,9213.0,72.94999999999999,25.75,120.25,177.29999999999998,6025.25,2020-04-17,100.0,87.0,354.0,8261.599999999999,60.5,479.0,4620.0,710.5,6663.45,7768.5,79.05,8251.5,20.95,1377.1,68.0,40.05,29.0,53.75,34.25,10939.75,12619.5,151.15,4711.5
37,2638.85,48.900000000000006,5420.0,3927.35,6527.0,3760.0,9347.0,73.85,24.0,116.0,164.85,5901.0,2020-04-18,97.5,85.0,336.0,8139.749999999999,63.0,457.0,4525.5,662.0,6761.85,7865.5,82.0,8402.55,21.0,1328.6,72.0,38.099999999999994,28.0,55.75,33.0,11045.5,12880.949999999999,142.39999999999998,4769.5
38,2587.6,50.95,5493.0,3966.7,6588.75,3690.0,9459.5,72.94999999999999,24.0,112.25,147.75,5791.5,2020-04-19,95.5,80.0,308.5,8023.150000000001,64.5,446.5,4443.0,621.75,6856.65,7963.75,87.05,8542.449999999999,20.0,1291.4,74.0,40.0,28.0,58.75,32.25,11179.75,13105.55,144.05,4815.0
39,2533.6000000000004,52.0,5563.5,4007.1000000000004,6649.5,3611.5,9574.0,69.0,23.0,108.25,131.95,5682.25,2020-04-20,93.0,79.0,294.0,7875.2,67.0,421.5,4349.5,581.75,6935.05,8050.25,89.0,8703.249999999998,19.95,1237.3,78.0,38.099999999999994,27.0,61.0,32.0,11295.5,13365.3,142.0,4863.25
40,2425.6,54.949999999999996,5642.0,4048.25,6708.75,3519.25,9679.0,66.85,23.0,105.25,126.65,5559.75,2020-04-21,90.0,77.0,265.25,7711.2,68.0,408.0,4256.5,554.0,6975.400000000001,8137.5,92.0,8848.699999999999,18.950000000000003,1202.05,80.25,37.05,25.0,62.0,30.0,11396.5,13586.849999999999,138.05,4921.5
41,2351.0,55.95,5721.5,4087.0,6769.75,3431.5,9805.5,61.800000000000004,22.0,104.0,129.9,5430.5,2020-04-22,87.5,74.75,253.0,7555.0,70.5,376.5,4160.0,532.25,7009.1,8229.5,96.05,8970.6,17.0,1150.4499999999998,82.25,37.05,25.0,64.75,29.25,11488.5,13839.5,134.05,4967.0
42,2315.0,57.949999999999996,5786.5,4124.25,6827.0,3367.0,9915.5,56.800000000000004,21.0,99.0,122.25,5311.75,2020-04-23,83.5,71.0,241.0,7401.5,74.0,345.5,4063.0,513.25,7041.8,8315.0,100.0,9105.15,17.0,1109.35,84.0,35.099999999999994,24.0,66.75,28.0,11571.25,14040.249999999998,129.34999999999997,5014.25
43,2256.65,59.0,5854.0,4154.85,6878.5,3294.0,10031.5,55.8,20.0,95.5,113.5,5188.75,2020-04-24,81.5,69.75,235.5,7215.1,76.0,322.0,3964.0,488.75,7080.95,8404.5,100.14999999999999,9235.199999999999,16.95,1076.3,87.0,34.05,23.0,68.0,27.0,11628.0,14252.3,128.05,5044.5
44,2188.6,60.9,5899.0,4183.5,6924.0,3219.25,10106.0,53.0,20.0,91.25,99.8,5079.5,2020-04-25,79.0,66.75,219.75,7050.7,78.5,302.0,3887.5,461.0,7107.65,8497.75,101.24999999999999,9368.5,16.95,1040.55,89.0,31.14999999999999,23.0,70.0,26.0,11687.0,14451.15,124.19999999999999,5081.75
45,2127.25,63.0,5943.5,4212.75,6967.75,3140.25,10184.5,52.85,19.0,91.0,101.30000000000001,4987.75,2020-04-26,76.0,63.0,202.75,6889.15,80.0,290.0,3816.0,448.0,7147.3,8585.25,105.24999999999999,9483.9,17.0,1030.15,91.0,32.14999999999999,22.5,72.0,26.0,11749.0,14636.65,123.1,5111.25
46,2088.55,64.0,5982.0,4242.95,7009.0,3073.25,10254.0,48.95,18.75,88.0,95.25,4886.5,2020-04-27,74.0,60.75,198.0,6730.45,83.0,275.0,3744.5,425.75,7191.15,8658.75,106.29999999999998,9592.9,16.0,996.15,92.25,32.05,22.0,73.0,25.0,11807.25,14818.0,119.1,5146.75
47,2024.3,66.95,6023.5,4269.35,7054.5,3006.25,10325.5,47.0,18.0,84.0,89.8,4771.5,2020-04-28,70.0,57.5,189.0,6569.2,83.0,261.0,3681.5,399.25,7234.95,8723.0,112.05,9710.0,14.950000000000001,948.6499999999999,95.25,32.099999999999994,21.0,74.75,24.25,11878.0,14977.95,118.0,5175.5
48,1953.7,70.95,6052.5,4296.8,7098.0,2952.75,10418.5,45.0,17.0,83.0,78.8,4675.75,2020-04-29,66.0,55.75,179.5,6439.6,84.0,244.0,3618.0,369.25,7267.35,8780.25,114.05,9824.25,14.950000000000001,887.9499999999999,98.0,32.0,20.0,76.0,23.0,11971.0,15127.8,111.14999999999999,5211.25
