,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,1031.0,0.0,398.0,351.0,437.0,1385.25,467.5,4.0,2.0,14.0,121.65000000000002,2402.5,2020-03-12,2044409.75,10.0,7.0,271.0,4592.0499999999965,0.0,432.5,1793.0,667.25,2044002.0,323.95,2043392.5,399.0,0.0,538.0999999999999,0.0,1404.8499999999992,0.0,7.0,3.0,2041202.95,0.0,4.0,541.5,692.5499999999995,23.0,374.0,2044764.0
1,1268.3,0.0,500.5,426.0,561.25,1687.5,687.0,4.0,2.0,16.0,180.8,2890.5,2020-03-13,2044107.5,11.0,8.0,395.75,5340.149999999992,0.0,620.5,2150.5,1002.0,2043644.5,479.0,2042902.25,593.5,0.0,729.4499999999996,1.0,2100.1999999999907,0.0,8.0,3.0,2040454.7000000002,0.0,5.0,821.25,1107.2999999999997,26.049999999999955,462.0,2044526.7000000002
2,1465.95,0.0,613.5,503.95,705.25,1933.0,829.0,5.0,2.0,17.25,204.95,3297.0,2020-03-14,2043852.0,12.0,9.0,470.75,6109.249999999996,0.0,742.0,2430.5,1215.25,2043335.5,580.9,2042488.0,713.0,0.0,973.2499999999998,1.0,2778.4999999999973,0.0,9.0,3.0,2039678.0999999999,0.0,5.0,1005.0,1421.3999999999996,29.0,553.75,2044317.35
3,1655.65,0.0,743.0,593.9499999999999,859.25,2194.25,1003.5,6.0,2.0,19.0,220.55,3781.75,2020-03-15,2043565.25,13.0,10.0,512.75,6837.199999999999,0.0,811.5,2776.5,1295.75,2042995.0,680.9000000000001,2041979.75,860.5,0.0,1237.4999999999995,1.0,3083.5499999999997,0.0,9.049999999999955,4.0,2038912.45,0.0,6.0,1222.5,1749.5999999999995,31.0,662.75,2044126.0499999998
4,1856.6000000000001,0.0,891.0,700.75,1037.5,2473.5,1202.0,7.0,3.0,22.0,255.55,4304.5,2020-03-16,2043306.5,15.0,11.0,593.75,7885.899999999998,0.0,917.5,3135.5,1448.25,2042627.0,797.75,2041462.0,1017.25,1.0,1511.3499999999997,1.0,3305.3499999999995,0.0,11.0,4.0,2037854.2,0.0,6.0,1484.25,2144.6499999999996,33.09999999999991,783.0,2043914.35
5,1999.5500000000002,0.0,1043.5,802.95,1239.5,2696.5,1422.0,9.0,4.0,26.0,293.95000000000005,4674.25,2020-03-17,2043056.0,19.0,14.0,658.25,8515.149999999987,0.0,1021.5,3437.5,1565.5,2042300.5,936.6,2041071.0,1198.0,2.0,1824.4499999999996,2.0,3543.899999999997,1.0,13.0,5.0,2037191.05,0.0,8.0,1774.5,2639.6999999999985,39.049999999999955,917.75,2043758.0
6,2171.7,0.0,1214.5,920.85,1474.25,2944.75,1676.5,11.0,4.75,32.0,327.0,5130.0,2020-03-18,2042799.0,24.0,17.0,737.75,9170.699999999979,1.0,1128.5,3750.0,1752.0,2041976.5,1094.8999999999999,2040602.25,1393.25,3.0,2192.249999999999,3.0,3995.649999999996,1.0,16.049999999999955,7.0,2036508.85,0.0,9.0,2092.75,3157.949999999999,52.0,1059.75,2043580.15
7,2330.0,0.0,1392.0,1034.9,1696.25,3206.0,1944.5,14.0,6.0,41.0,326.75,5580.25,2020-03-19,2042532.25,30.0,21.0,770.5,10410.25,1.0,1200.5,4096.5,1887.0,2041600.5,1253.9,2040176.0,1609.0,4.0,2561.3499999999967,3.0,4286.849999999991,2.0,19.0,8.0,2035208.1500000001,0.0,12.0,2468.5,3713.149999999995,65.0,1208.75,2043395.5
8,2488.7,0.0,1579.0,1153.7,1950.0,3439.75,2245.5,18.0,7.0,49.0,358.8,6059.0,2020-03-20,2042273.5,37.0,26.0,812.75,11178.0,1.0,1246.5,4454.0,1945.75,2041245.0,1436.8000000000002,2039667.75,1845.0,5.0,2926.399999999997,4.0,4523.649999999995,2.0,25.0,10.0,2034402.15,1.0,14.0,2850.0,4372.249999999996,84.0,1357.0,2043209.45
9,2626.05,0.0,1781.5,1255.0,2190.25,3634.25,2578.0,21.950000000000003,8.0,60.0,331.8,6478.75,2020-03-21,2042018.5,45.0,31.75,794.75,11866.049999999994,2.0,1282.5,4697.5,1986.25,2040939.0,1628.8000000000002,2039155.5,2098.5,6.0,3390.749999999997,4.950000000000003,4824.5999999999985,3.0,30.049999999999955,13.0,2033654.1,1.0,17.0,3265.5,5139.449999999998,104.09999999999991,1505.75,2043046.8499999999
10,2721.3,0.0,1968.0,1371.65,2446.75,3806.25,2904.5,25.0,10.0,73.0,343.95,6833.25,2020-03-22,2041784.5,54.0,38.0,823.0,12511.59999999999,2.0,1325.5,4947.5,2063.0,2040632.0,1812.0,2038614.75,2363.5,7.0,3905.499999999999,6.0,5017.449999999999,4.0,38.0,15.0,2032919.4000000001,1.0,21.0,3732.75,5898.399999999998,127.14999999999986,1647.75,2042898.7000000002
