,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,1333.6000000000001,0.0,400.0,357.0,426.0,1522.75,408.0,4.0,1.0,11.0,414.95000000000005,2026.75,2020-03-12,2044272.25,9.0,7.0,485.0,2695.1999999999953,0.0,555.0,1733.5,645.25,2044061.5,376.95,2043768.25,395.0,0.0,475.0999999999999,0.0,823.4999999999995,0.0,5.0,2.0,2043099.8,0.0,3.0,418.0,436.0,15.0,378.0,2044461.4000000001
1,1604.0,0.0,502.0,431.95,551.0,1851.75,605.0,5.0,2.0,13.0,573.85,2483.25,2020-03-13,2043943.25,10.5,8.0,694.0,3343.5499999999997,0.0,822.0,2129.5,1000.25,2043664.5,548.95,2043311.0,577.0,0.0,655.2999999999997,0.0,1423.5999999999995,0.0,6.0,3.0,2042450.45,0.0,4.0,638.0,696.0999999999999,18.0,467.75,2044190.05
2,1820.6000000000001,0.0,618.5,514.95,694.25,2113.0,737.0,6.0,2.0,15.0,672.7,2880.5,2020-03-14,2043681.0,11.5,9.0,832.75,3928.1,0.0,1000.5,2454.0,1242.25,2043338.0,648.0,2042910.0,690.75,0.0,865.1999999999998,1.0,1821.4999999999977,0.0,7.0,3.0,2041863.8,0.0,4.0,789.0,904.05,19.0,564.0,2043973.3
3,2074.2000000000003,0.0,749.5,599.95,856.25,2421.5,895.0,7.0,2.0,16.0,555.95,3339.25,2020-03-15,2043362.5,13.0,10.0,695.0,4673.149999999999,0.0,834.5,2834.5,1054.0,2042948.5,765.95,2042441.75,826.75,0.0,1097.4499999999996,1.0,1542.8499999999983,0.0,7.0,3.0,2041108.5,0.0,5.0,983.25,1173.0,21.0,674.0,2043713.9000000001
4,2263.9500000000003,0.0,900.5,700.8,1042.0,2681.5,1079.5,9.0,3.0,18.0,716.95,3704.75,2020-03-16,2043097.75,15.0,12.0,876.5,5284.249999999997,0.0,1050.5,3154.5,1269.25,2042618.5,893.95,2042061.5,981.0,1.0,1374.1499999999999,1.0,1834.6499999999994,0.0,8.0,4.0,2040475.9000000001,0.0,6.0,1208.25,1508.1,24.0,795.75,2043513.1500000001
5,2432.7999999999997,0.0,1071.5,811.95,1245.25,2915.25,1288.0,11.0,4.0,23.0,800.9000000000001,4053.0,2020-03-17,2042846.75,19.0,15.0,976.5,5807.999999999997,0.0,1183.5,3451.0,1411.5,2042307.5,1036.9,2041702.75,1149.0,2.0,1681.4999999999995,2.0,2088.1,1.0,9.0,5.0,2039931.2000000002,0.0,7.0,1463.25,1870.7999999999993,30.0,935.75,2043328.1500000001
6,2616.3,0.0,1252.5,936.0,1459.25,3154.0,1526.0,15.0,5.0,29.0,883.8499999999999,4391.5,2020-03-18,2042583.75,24.0,20.0,1097.75,6400.649999999998,1.0,1329.5,3745.5,1618.5,2041983.0,1188.6,2041344.75,1349.75,2.0,1997.2999999999997,3.0,2369.5999999999976,1.0,11.0,6.0,2039312.4,0.0,8.0,1760.5,2305.0499999999997,38.0,1081.25,2043128.35
7,2811.75,0.0,1441.5,1055.75,1673.25,3419.5,1784.0,19.0,6.0,37.0,886.9499999999999,4827.25,2020-03-19,2042307.0,31.0,25.0,1126.25,6971.499999999997,1.0,1378.0,4068.5,1666.75,2041639.0,1366.95,2040862.5,1567.75,3.0,2331.9499999999994,4.0,2511.099999999999,2.0,15.0,8.0,2038686.65,0.0,10.0,2086.25,2791.2,51.0,1233.75,2042927.15
8,2997.5,0.0,1629.5,1170.9499999999998,1896.75,3676.75,2079.5,24.0,8.0,46.0,878.8499999999999,5224.0,2020-03-20,2042015.75,37.0,31.0,1128.75,7527.599999999995,1.0,1384.0,4389.5,1659.0,2041288.5,1567.9,2040463.0,1807.5,4.0,2683.2,5.0,2529.0999999999995,2.0,18.0,10.0,2038105.5,1.0,13.0,2436.25,3304.6499999999996,64.0,1389.75,2042711.05
9,3163.1,0.0,1824.5,1289.85,2132.25,3891.0,2390.5,29.0,10.0,56.0,864.95,5556.5,2020-03-21,2041777.0,45.0,37.0,1129.5,8097.899999999999,2.0,1386.5,4642.0,1688.5,2040991.0,1780.8500000000001,2040085.5,2055.0,5.0,3054.2999999999984,6.0,2607.6499999999996,3.0,22.0,12.0,2037484.8,1.0,16.0,2800.0,3845.749999999999,78.04999999999995,1546.0,2042532.25
10,3294.8500000000004,0.0,2015.5,1416.5,2367.25,4065.5,2708.5,34.0,11.0,65.0,878.9499999999999,5892.25,2020-03-22,2041556.5,53.0,43.0,1157.0,8652.149999999998,2.0,1426.5,4884.0,1765.75,2040706.5,1968.65,2039668.5,2308.0,6.0,3433.3999999999987,8.0,2745.699999999999,4.0,26.049999999999955,14.0,2036872.55,1.0,19.0,3171.25,4412.15,93.0,1706.0,2042349.0
11,3411.2,1.0,2203.5,1534.75,2621.5,4227.75,3024.0,39.0,13.0,77.0,886.9499999999999,6149.5,2020-03-23,2041338.75,61.0,50.0,1178.0,9126.2,3.0,1455.5,5082.0,1824.5,2040439.5,2179.4,2039339.0,2579.5,7.0,3762.1,9.0,2820.2999999999997,4.0,30.049999999999955,17.0,2036261.95,2.0,22.0,3556.25,5007.699999999999,108.09999999999991,1858.5,2042196.35
12,3507.9,1.0,2392.5,1657.0,2849.5,4375.25,3368.0,43.0,15.0,87.0,885.5500000000001,6404.25,2020-03-24,2041128.5,70.0,57.0,1153.0,9459.649999999998,4.0,1432.5,5257.5,1777.75,2040174.0,2363.0,2039004.75,2835.0,8.049999999999955,4089.1499999999983,11.0,2763.3499999999976,5.0,36.0,19.0,2035786.6500000001,3.0,24.25,3940.75,5668.249999999997,126.04999999999995,2015.5,2042041.2
13,3571.85,2.0,2581.5,1758.7,3067.0,4484.5,3680.0,48.0,17.0,98.0,846.9,6618.0,2020-03-25,2040929.25,78.0,63.0,1112.75,9722.699999999992,5.0,1396.0,5423.0,1756.75,2039934.0,2575.6,2038653.75,3109.75,10.0,4452.25,12.0,2720.949999999997,7.0,41.0,21.0,2035359.5,3.0,28.0,4337.5,6288.249999999999,143.04999999999995,2162.25,2041913.5999999999
