,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,2360.0,0.0,589.0,346.65000000000003,690.25,2360.0,691.0,5.0,2.0,18.0,263.85,2360.0,2020-03-12,2043435.0,12.0,9.0,444.75,2360.0,0.0,566.5,2360.0,693.25,2043435.0,446.90000000000003,2043435.0,586.0,0.0,892.1499999999999,1.0,870.3999999999996,0.0,9.0,3.0,2043435.0,0.0,5.0,804.5,946.0,28.049999999999955,480.5,2043435.0
1,2666.0,0.0,720.0,424.95,841.25,2762.0,975.5,6.0,3.0,20.0,401.9,2903.0,2020-03-13,2043030.0,14.0,10.0,646.5,3043.45,0.0,816.5,2824.5,1010.25,2042968.0,633.9499999999999,2042889.75,826.0,0.0,1078.7499999999993,1.0,1245.2499999999998,0.0,10.0,4.0,2042750.5999999999,0.0,6.0,1142.0,1333.5999999999995,31.0,593.0,2043124.0
2,2954.8999999999996,0.0,866.0,520.5,1007.0,3105.5,1167.5,7.0,3.0,22.0,459.55,3347.0,2020-03-14,2042677.5,15.0,11.0,752.5,3563.7,0.0,967.0,3214.0,1196.5,2042570.0,749.8000000000001,2042439.5,980.75,0.0,1298.1499999999999,1.0,1439.05,0.0,10.049999999999955,4.0,2042230.9,0.0,6.0,1364.0,1587.2999999999997,34.0,715.75,2042829.0
3,3279.95,0.0,1032.5,629.8000000000001,1206.25,3485.0,1390.0,7.0,3.0,24.0,507.9,3832.25,2020-03-15,2042267.0,17.0,12.0,772.5,4125.4,0.0,1031.5,3653.5,1279.25,2042121.5,896.95,2041934.25,1175.25,0.0,1567.1999999999998,1.9500000000000028,1707.2499999999998,0.0,12.0,5.0,2041666.75,0.0,7.0,1616.5,1873.2499999999998,39.0,855.5,2042489.4500000002
4,3605.7,0.0,1217.5,750.1500000000001,1437.0,3873.5,1639.5,8.0,4.0,28.0,529.6,4313.25,2020-03-16,2041857.5,20.0,14.0,935.0,4812.2,0.0,1220.0,4095.0,1475.25,2041658.0,1060.9,2041433.25,1388.0,1.0,1846.3499999999997,2.0,1934.3999999999996,0.0,14.0,6.0,2040941.9,0.0,8.0,1889.25,2211.2,46.049999999999955,1008.0,2042141.0
5,3855.8999999999996,0.0,1429.0,881.6500000000001,1685.75,4180.25,1918.0,10.0,4.0,34.0,633.65,4752.0,2020-03-17,2041521.0,24.0,16.0,1026.25,5413.099999999999,0.0,1325.0,4438.5,1604.0,2041284.5,1243.0,2040972.0,1635.75,2.0499999999999545,2149.4999999999995,2.0,2139.7999999999993,1.0,16.049999999999955,7.0,2040334.5499999998,0.0,10.0,2222.75,2593.8999999999987,58.0,1175.25,2041869.1500000001
6,4133.75,0.0,1649.0,1024.3000000000002,1951.25,4519.25,2227.5,12.0,5.0,42.0,697.5,5239.5,2020-03-18,2041141.25,30.0,20.0,1142.0,6004.199999999997,1.0,1480.0,4841.5,1813.0,2040858.0,1469.8999999999999,2040449.0,1911.5,4.0,2472.2999999999997,3.0,2454.1499999999996,2.0,21.0,8.0,2039645.25,0.0,13.0,2599.0,3063.5,72.04999999999995,1351.25,2041588.2
7,4414.7,0.0,1880.5,1181.8500000000001,2214.5,4866.0,2582.0,15.0,7.0,53.25,737.0,5729.25,2020-03-19,2040762.75,37.0,24.0,1165.75,6733.2,1.0,1548.0,5271.0,1923.0,2040398.5,1720.25,2039913.25,2211.0,5.0,2839.199999999999,4.0,2617.2999999999993,2.0,26.0,10.0,2038963.05,0.0,16.0,3013.75,3539.15,93.0,1542.75,2041279.2999999998
8,4682.5,0.0,2118.5,1336.15,2517.5,5218.5,2956.5,18.0,8.0,66.0,780.9,6198.25,2020-03-20,2040367.25,46.5,29.75,1202.0,7402.699999999999,2.0,1586.0,5678.5,1993.25,2039942.0,1968.45,2039375.5,2552.0,6.0,3212.4999999999995,4.0,2737.3499999999995,3.0,32.0,13.0,2038240.45,1.0,19.0,3419.5,4012.2999999999997,109.04999999999995,1739.25,2040947.4
9,4938.8,0.0,2365.5,1484.3,2804.25,5498.0,3340.5,23.0,10.0,79.25,730.4000000000001,6605.5,2020-03-21,2040008.0,56.0,36.0,1227.0,7974.049999999999,2.0,1621.0,6021.5,2079.25,2039554.5,2241.65,2038937.0,2893.0,8.0,3546.7499999999955,5.0,2903.049999999998,4.0,37.0,15.0,2037646.5999999999,1.0,23.0,3883.5,4606.200000000001,129.0999999999999,1958.25,2040670.0999999999
