,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,1003.8000000000001,0.0,404.0,352.95,437.0,1404.25,460.5,3.0,2.0,13.0,141.0,2387.75,2020-03-12,2044390.75,9.0,7.0,282.25,4307.25,0.0,431.0,1810.0,673.25,2043985.0,321.84999999999997,2043407.25,387.0,0.0,531.0,1.0,1421.6999999999994,0.0,7.0,3.0,2041487.75,0.0,4.0,533.0,676.2499999999998,23.0,376.0,2044791.2000000002
1,1223.8,0.0,509.5,429.0,566.25,1693.5,683.0,4.0,2.0,16.0,202.90000000000003,2823.25,2020-03-13,2044101.25,11.0,8.0,411.5,4921.699999999999,0.0,644.5,2173.5,993.25,2043621.0,476.95,2042968.5,574.0,0.0,725.05,1.0,2156.45,0.0,8.0,3.0,2040870.55,0.0,5.0,803.0,1073.5499999999995,25.0,469.0,2044571.1500000001
2,1428.6,0.0,623.0,504.95,710.25,1929.25,834.5,5.0,2.0,17.0,242.95000000000002,3235.25,2020-03-14,2043864.75,12.0,8.75,493.0,5473.099999999995,0.0,782.5,2478.5,1187.5,2043313.0,573.95,2042554.0,707.25,0.0,955.2499999999998,1.0,2563.999999999999,0.0,8.0,3.5,2040241.1500000001,0.0,5.0,995.25,1330.7499999999993,28.0,567.0,2044363.55
3,1616.95,0.0,754.0,599.95,870.0,2207.0,1022.0,6.0,2.0,18.0,233.9,3655.25,2020-03-15,2043573.0,13.0,9.0,501.0,6237.999999999991,0.0,824.5,2820.5,1316.0,2042947.0,694.9,2042115.5,847.75,0.0,1197.199999999999,1.0,2931.15,0.0,9.0,4.0,2039503.8,0.0,6.0,1229.0,1674.2999999999997,31.0,678.0,2044172.0
4,1808.7000000000003,0.0,900.0,710.9,1045.25,2472.5,1227.0,6.0,3.0,21.25,262.65000000000003,4150.25,2020-03-16,2043299.25,15.0,11.0,578.75,7195.899999999992,0.0,939.5,3202.0,1467.5,2042550.0,817.85,2041607.0,1018.5,1.0,1471.8499999999992,1.0,3136.399999999995,0.0,11.0,4.0,2038586.6500000001,0.0,6.0,1486.25,2057.05,34.0,806.5,2043941.4
5,1955.6499999999999,0.0,1059.5,824.95,1237.25,2708.5,1463.0,8.0,3.0,26.0,322.0,4535.75,2020-03-17,2043050.5,19.0,14.0,650.5,7787.04999999999,0.0,1031.5,3527.5,1610.75,2042235.5,952.95,2041167.0,1208.75,2.0,1759.199999999998,2.0,3340.449999999996,1.0,12.0,5.0,2037984.0,0.0,8.0,1779.25,2476.6999999999994,40.09999999999991,943.0,2043808.5
6,2132.95,0.0,1233.0,944.95,1456.5,2969.75,1712.0,10.0,4.0,31.0,345.9,4954.75,2020-03-18,2042783.5,23.0,17.0,721.0,8406.649999999987,0.0,1133.5,3855.5,1799.75,2041904.0,1109.8,2040743.25,1412.0,3.0,2103.199999999999,2.0,3639.299999999994,1.0,15.0,6.5,2037353.85,0.0,9.0,2113.75,2976.7999999999993,50.049999999999955,1088.0,2043626.2
7,2316.75,0.0,1415.5,1068.85,1684.0,3223.25,1989.5,13.0,5.0,39.0,366.95000000000005,5418.75,2020-03-19,2042522.0,29.0,21.0,757.25,9090.84999999999,1.0,1231.0,4166.0,1908.25,2041552.5,1280.95,2040264.75,1630.25,4.0,2481.199999999999,3.0,3889.449999999998,2.0,18.049999999999955,8.0,2036647.75,0.0,11.0,2493.25,3460.8999999999974,64.0,1245.75,2043412.1500000001
8,2485.85,0.0,1600.0,1190.0,1918.75,3467.25,2285.0,16.0,7.0,49.0,402.0,5899.0,2020-03-20,2042235.0,36.0,25.0,772.75,9792.449999999992,1.0,1268.5,4497.0,1964.5,2041209.5,1453.9499999999998,2039725.0,1862.75,5.0,2822.5999999999967,4.0,4052.949999999995,3.0,24.0,10.0,2035885.9,1.0,14.0,2862.0,4035.2,77.04999999999995,1398.75,2043196.15
9,2620.4,0.0,1790.0,1302.0,2168.25,3663.0,2592.5,20.0,8.0,59.25,384.65,6263.75,2020-03-21,2041976.0,43.5,31.0,776.0,10480.849999999995,2.0,1288.0,4778.0,2040.5,2040890.5,1632.8,2039288.5,2100.25,6.0,3185.2499999999973,5.0,4171.699999999992,3.0,29.0,12.0,2035101.3499999999,1.0,17.0,3244.75,4700.15,99.04999999999995,1553.5,2043031.35
