,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,1354.9,0.0,397.0,358.95000000000005,424.0,1529.0,408.0,4.0,1.0,11.0,424.0,2001.25,2020-03-12,2044266.0,9.0,7.0,490.0,2742.5499999999993,0.0,550.5,1716.5,627.25,2044078.5,377.0,2043793.75,395.0,0.0,480.3499999999997,0.0,849.0999999999999,0.0,5.0,2.0,2043052.4500000002,0.0,3.0,420.0,438.04999999999995,15.0,379.0,2044440.0999999999
1,1634.1499999999999,0.0,499.5,437.0,547.0,1864.75,602.0,5.0,2.0,13.0,585.9,2445.25,2020-03-13,2043930.0,10.0,8.0,698.0,3339.6499999999987,0.0,812.5,2085.5,984.0,2043709.5,546.0,2043349.75,578.0,0.0,666.5499999999995,0.0,1413.3499999999997,0.0,6.0,3.0,2042455.25,0.0,4.0,636.0,706.0999999999999,17.0,467.0,2044160.8
2,1967.95,0.0,613.0,520.9,686.0,2300.0,733.0,5.0,2.0,14.0,698.9,3081.5,2020-03-14,2043491.0,11.0,9.0,832.5,4313.999999999999,0.0,987.5,2591.0,1219.0,2043198.5,651.95,2042707.75,692.0,0.0,864.7999999999984,1.0,1855.049999999999,0.0,6.0499999999999545,3.0,2041471.2,0.0,4.0,788.0,913.5499999999995,18.049999999999955,563.75,2043826.0499999998
3,2364.85,0.0,744.0,611.9499999999999,846.25,2803.0,890.5,6.0,2.0,16.0,580.7,3850.5,2020-03-15,2042982.75,13.0,10.0,694.75,5393.199999999995,0.0,826.5,3178.5,1032.25,2042605.0,774.0,2041933.5,827.0,0.0,1100.0499999999981,1.0,1579.999999999999,0.0,7.0,3.0,2040386.8499999999,0.0,5.0,973.25,1186.6999999999985,20.049999999999955,676.0,2043424.0
4,2682.5,0.0,906.0,731.9000000000001,1045.75,3202.75,1067.5,8.0,3.0,19.0,730.75,4484.75,2020-03-16,2042569.5,15.0,12.0,881.75,6338.999999999996,0.0,1016.0,3665.0,1253.25,2042110.5,904.8000000000001,2041283.75,986.75,1.0,1406.5499999999986,1.0,1844.5499999999986,0.0,8.0,4.0,2039435.75,0.0,5.0,1191.25,1521.3499999999979,24.0,822.75,2043094.55
5,3103.4,0.0,1113.0,872.9000000000001,1305.5,3793.0,1264.5,11.0,4.0,24.0,925.7,5358.5,2020-03-17,2041968.5,20.0,16.0,1125.5,7673.099999999991,0.0,1321.0,4349.5,1648.25,2041400.5,1041.0,2040385.0,1158.0,1.0499999999999545,1808.05,2.0,2388.05,1.0,10.0,5.0,2038062.05,0.0,7.0,1442.5,1861.8999999999965,31.049999999999955,999.0,2042662.2999999998
6,3671.8,0.0,1351.0,1044.75,1606.0,4518.0,1513.0,16.950000000000003,5.0,33.0,1142.25,6521.75,2020-03-18,2041233.5,27.0,22.0,1433.75,9681.999999999993,1.0,1674.0,5246.5,2108.75,2040493.0,1220.55,2039204.75,1367.75,2.0,2245.0499999999993,3.0,3139.849999999997,1.0,13.0,7.0,2036034.25,0.0,9.0,1742.75,2324.199999999997,46.0,1205.75,2042076.25
7,4350.6,0.0,1635.5,1217.5,1971.0,5525.5,1823.5,23.0,7.0,46.0,1233.95,8197.75,2020-03-19,2040192.25,37.0,29.0,1573.0,12608.699999999999,1.0,1857.5,6473.5,2350.0,2039237.0,1434.9,2037508.5,1639.5,3.0,2753.4499999999994,5.0,3497.5999999999967,2.0,18.0,10.0,2033044.75,0.0,13.0,2132.25,2939.3,64.04999999999995,1444.5,2041377.65
8,5161.900000000001,0.0,1986.5,1439.7,2424.25,6555.5,2202.0,31.0,10.0,61.0,1409.8500000000001,10097.25,2020-03-20,2039132.25,49.0,40.0,1820.5,15243.599999999991,1.0,2177.5,7896.0,2757.75,2037788.0,1698.3999999999999,2035575.75,1956.25,4.0,3465.2999999999993,7.0,4196.049999999998,2.0,25.0,13.0,2030357.85,1.0,17.0,2602.5,3621.0499999999993,87.0,1741.25,2040544.0999999999
9,5977.95,0.0,2406.0,1699.8999999999999,2955.0,7724.5,2626.5,40.0,14.0,82.0,1686.4,12382.25,2020-03-21,2037926.75,66.0,53.0,2219.25,19177.999999999993,2.0,2711.0,9552.5,3487.75,2036076.5,2010.45,2033231.5,2337.75,5.0,4383.549999999999,10.0,5350.399999999998,3.0,33.049999999999955,18.0,2026394.9,1.0,23.0,3133.0,4406.0999999999985,117.04999999999995,2085.75,2039695.2999999998
10,6967.75,0.0,2927.0,2022.3000000000002,3640.5,9213.25,3156.0,50.0,19.0,106.25,2080.8,15168.5,2020-03-22,2036389.25,84.0,69.0,2755.25,23893.949999999993,2.0,3475.5,11726.0,4515.0,2033834.5,2325.4500000000003,2030374.0,2769.0,5.0,5473.399999999992,13.0,7125.949999999997,3.25,45.0,23.0,2021645.1,1.0,30.0,3834.0,5330.799999999999,158.04999999999995,2529.75,2038645.4
11,8173.400000000001,1.0,3558.0,2390.25,4518.5,10889.75,3798.5,66.95,24.0,142.0,2408.7000000000003,18953.25,2020-03-23,2034624.25,107.0,88.0,3263.0,30612.54999999996,3.0,4266.0,14390.0,5616.5,2031089.5,2728.9,2026495.75,3333.75,7.0,6900.1,17.950000000000003,8886.899999999998,5.0,61.0,30.0,2014640.75,2.0,39.0,4640.75,6652.09999999999,208.14999999999986,3037.75,2037377.75
12,9378.1,1.0,4399.5,2843.7999999999997,5614.25,12931.75,4583.0,82.95,30.0,182.5,2796.95,23649.75,2020-03-24,2032430.25,138.0,112.0,3841.25,39275.649999999994,4.0,5159.0,17531.0,6846.75,2027826.5,3221.8,2021626.5,3969.5,9.0,8541.649999999998,22.0,11278.65,6.0,79.0,38.0,2005889.1500000001,3.0,50.0,5645.75,8380.549999999996,279.0,3617.25,2036088.9
13,10862.449999999999,2.0,5405.5,3360.85,6934.75,15383.25,5574.5,101.95,38.0,234.25,3181.2000000000003,29399.0,2020-03-25,2029929.25,176.0,138.0,4549.5,49975.09999999997,6.0,6247.5,21317.0,8523.5,2023920.0,3804.1000000000004,2015582.75,4764.75,12.0,10775.199999999999,27.950000000000003,14260.949999999997,8.0,105.0,49.0,1994944.85,4.0,64.0,6898.25,10608.74999999999,365.0999999999999,4320.0,2034523.35
14,12521.85,3.0,6640.5,3940.2,8693.5,18155.75,6736.0,125.0,48.0,299.0,3744.55,36031.75,2020-03-26,2026996.5,224.0,174.75,5439.0,64693.99999999999,8.0,7685.5,25904.5,10734.0,2019168.0,4463.75,2008595.25,5679.0,15.0,13726.449999999993,34.0,18502.699999999993,10.0,134.04999999999995,61.0,1979793.9000000001,6.0,82.25,8594.5,12988.249999999995,473.0999999999999,5190.25,2032689.2
15,14720.5,5.0,8173.0,4608.849999999999,10786.0,21592.75,8286.0,151.9,58.0,381.25,4419.5,45127.75,2020-03-27,2023399.0,283.5,213.0,6531.0,82979.34999999999,10.0,9511.5,31401.0,13367.25,2013245.5,5282.05,1999393.25,6703.75,20.0,17518.04999999999,42.0,24433.25,13.0,176.0999999999999,76.0,1960990.05,8.0,104.0,10589.5,16347.649999999994,627.3999999999996,6176.0,2030392.45
16,17284.0,7.0,9946.5,5352.950000000001,13414.25,25945.25,10207.5,181.95,72.0,484.25,5192.65,56047.5,2020-03-28,2018701.0,351.0,260.0,7822.5,106119.54999999996,13.0,11549.5,38099.0,16630.5,2006179.0,6210.6,1987918.5,8040.5,26.0,22464.999999999996,50.0,31376.449999999997,17.0,229.04999999999995,96.0,1937093.3499999999,10.0,132.25,13077.0,20376.4,803.2499999999989,7352.25,2027650.5
17,20217.45,9.950000000000003,12187.5,6227.15,16897.0,31281.25,12437.0,220.0,89.0,610.0,6112.75,69422.75,2020-03-29,2013147.75,441.0,318.5,9434.5,137037.05,18.0,13976.0,46609.0,20842.5,1997350.5,7259.5,1973882.5,9591.0,35.0,28875.0,59.0,40025.299999999996,24.0,287.1999999999998,120.0,1905687.7000000002,14.0,168.0,16274.0,26240.199999999983,1044.8999999999992,8772.25,2024361.9500000002
18,23443.65,12.0,14854.0,7267.85,20751.25,37095.75,15226.0,266.8,107.75,766.5,7162.2,85901.25,2020-03-30,2006642.75,545.5,385.5,11289.25,174781.64999999997,23.0,17276.0,56719.0,25941.75,1986592.5,8424.5,1957043.5,11391.25,45.049999999999955,37174.4,73.0,51482.099999999984,31.0,372.2499999999998,148.0,1866549.3499999999,18.0,213.0,20372.0,33314.85,1351.4499999999996,10433.5,2020820.75
19,27265.55,16.0,18116.0,8537.15,26006.0,44170.75,18375.0,309.95000000000005,129.0,963.75,8399.6,107009.75,2020-03-31,1999086.5,671.5,466.0,13603.75,222602.54999999987,30.0,21060.0,68028.0,32466.5,1974505.0,9761.449999999999,1935365.75,13564.25,59.0,47995.299999999996,87.9,66871.5,38.25,474.5499999999995,183.0,1817331.9,23.0,267.0,25269.25,42377.749999999985,1729.0,12497.5,2016607.4
20,31825.149999999998,21.0,21971.0,10105.75,32368.5,52164.0,22643.0,362.95000000000005,156.75,1206.25,9768.5,133164.75,2020-04-01,1990497.25,821.5,555.5,16175.5,283032.5999999998,38.0,25504.5,81624.0,40735.0,1959641.5,11387.85,1907905.75,16143.5,80.0,61065.29999999997,101.0,86283.39999999997,49.0,629.0,224.0,1754923.05,30.0,332.25,31353.5,54994.399999999994,2259.2999999999975,14994.0,2011588.95
21,37203.7,26.0,26983.5,11889.9,40004.5,62170.0,27553.5,428.9,187.0,1509.5,11585.75,165406.5,2020-04-02,1979756.5,1004.0,673.75,19319.0,356024.1499999997,48.0,30735.0,99121.0,50721.25,1941584.0,13286.5,1873763.75,19288.75,103.04999999999995,78761.3,120.85000000000001,109859.59999999992,65.0,811.2499999999998,278.5,1679331.9,37.0,415.25,38905.0,70336.54999999997,2943.9499999999994,18128.5,2005814.0999999999
22,43837.850000000006,33.0,32905.0,13854.849999999999,49737.0,74497.25,33436.0,509.75000000000006,225.0,1875.75,13648.3,203653.25,2020-04-03,1966853.75,1222.0,805.0,23225.75,442486.14999999973,62.0,37758.0,121532.0,63484.25,1918618.5,15631.400000000001,1833394.0,23030.5,135.04999999999995,100247.34999999998,147.60000000000002,139099.89999999982,82.0,1057.3999999999996,345.5,1589324.3,47.0,517.25,48509.75,90236.79999999996,3789.1499999999987,21697.5,1998649.35
23,50784.3,39.95,39626.5,16215.6,61813.0,88975.25,40723.5,597.9000000000001,269.0,2343.5,15837.85,248908.25,2020-04-04,1950929.75,1484.5,965.5,27926.0,539884.9999999999,78.0,46292.5,147253.5,78330.5,1890502.5,18414.15,1786126.5,27664.5,175.04999999999995,127603.29999999994,169.0,175574.69999999987,103.25,1353.3499999999997,415.0,1485892.3,58.0,649.0,60363.75,115589.99999999996,4887.599999999999,25890.25,1990452.75
