,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,2229.0,0.0,573.0,342.90000000000003,684.25,2229.0,679.0,4.0,2.0,17.0,277.95000000000005,2229.0,2020-03-12,2043566.0,12.0,8.0,441.5,2229.0,0.0,567.5,2229.0,686.25,2043566.0,437.95000000000005,2043566.0,581.0,0.0,841.0999999999999,1.0,865.0999999999999,0.0,9.0,3.0,2043566.0,0.0,5.0,783.25,943.3499999999997,28.0,473.5,2043566.0
1,2546.9500000000003,0.0,700.5,414.95000000000005,829.25,2625.0,967.5,6.0,2.0,19.0,381.90000000000003,2770.0,2020-03-13,2043168.0,14.0,10.0,610.5,2904.1499999999996,0.0,782.0,2687.0,938.25,2043101.5,619.9000000000001,2043021.75,824.0,0.0,1013.05,1.0,1178.05,0.0,10.0,4.0,2042885.95,0.0,6.0,1116.75,1340.7499999999993,31.049999999999955,579.5,2043244.05
2,2987.85,0.0,832.5,500.95,986.0,3159.0,1155.5,7.0,3.0,21.0,434.85,3479.25,2020-03-14,2042623.75,15.0,11.0,697.5,3763.8499999999995,0.0,892.5,3310.0,1073.0,2042470.5,737.0,2042300.0,980.75,0.0,1190.4499999999996,1.0,1337.1499999999999,0.0,11.0,4.0,2042004.2,0.0,6.0,1325.75,1573.1999999999998,35.0,693.75,2042792.3499999999
3,3478.7999999999997,0.0,996.0,599.0,1176.75,3761.75,1361.5,7.0,3.0,23.0,412.95,4274.0,2020-03-15,2042006.25,17.0,12.0,704.25,4697.8499999999985,0.0,897.5,3994.0,1152.25,2041761.0,883.8499999999999,2041483.5,1164.0,0.0,1428.1999999999998,1.0,1544.5499999999995,0.0,13.0,5.0,2041057.65,0.0,7.0,1554.0,1828.2999999999997,39.049999999999955,828.5,2042285.15
4,4035.0,0.0,1199.0,715.6500000000001,1421.0,4370.25,1590.0,8.0,4.0,28.0,497.95,5093.75,2020-03-16,2041371.25,19.0,14.0,866.75,5834.15,0.0,1131.0,4708.0,1409.25,2041034.5,1038.95,2040626.25,1373.5,1.0,1803.2499999999989,2.0,2010.7499999999984,0.0,15.0,5.0,2039934.6,0.0,8.0,1805.0,2118.3999999999996,47.0,987.75,2041713.25
5,4611.1,0.0,1449.0,845.5,1730.0,5103.75,1859.0,9.950000000000003,4.0,36.0,668.75,6371.25,2020-03-17,2040608.0,24.5,16.0,1168.5,7806.299999999998,0.0,1489.0,5655.5,1808.75,2040042.5,1218.75,2039329.0,1600.5,2.0,2289.8999999999987,2.0,2463.25,1.0,18.0,7.0,2037852.75,0.0,11.0,2125.25,2582.05,58.049999999999955,1190.75,2041112.55
6,5271.0,0.0,1753.0,991.8,2099.75,6079.75,2187.0,12.0,6.0,47.25,874.0,8114.75,2020-03-18,2039592.0,32.5,22.0,1447.75,10605.299999999996,1.0,1869.5,7043.5,2284.25,2038655.0,1421.85,2037547.5,1866.75,4.0,2844.2,3.0,3281.0499999999997,2.0,24.0,9.0,2035000.3,0.0,14.0,2533.75,3161.3999999999996,79.0,1411.25,2040461.55
7,6150.3,0.0,2093.0,1201.75,2592.25,7355.75,2631.5,15.0,8.0,65.25,986.5500000000001,10489.5,2020-03-19,2038294.25,42.0,30.0,1623.5,14552.449999999999,1.0,2143.0,8784.5,2660.5,2036877.0,1664.9,2035089.25,2207.25,5.0,3645.4999999999986,4.0,4445.699999999996,2.0,32.049999999999955,12.0,2030819.9000000001,0.0,19.0,3066.75,3928.5499999999993,108.04999999999995,1692.5,2039549.2
8,7142.75,0.0,2563.0,1422.9,3257.5,8868.5,3126.0,23.0,11.0,89.25,1263.4,13320.0,2020-03-20,2036748.5,58.0,39.0,2017.75,19696.899999999994,2.0,2624.0,10809.5,3287.25,2034832.5,1963.8000000000002,2032291.25,2624.0,6.0,4792.799999999997,6.0,5980.25,3.0,44.049999999999955,16.0,2025756.35,1.0,25.0,3737.75,4771.999999999995,153.0,2038.5,2038421.3499999999
9,8400.2,0.0,3119.0,1697.7,4091.25,10652.75,3716.5,29.950000000000003,15.0,120.25,1409.0500000000002,17014.75,2020-03-21,2034902.75,79.0,53.0,2594.75,27353.55,2.0,3377.0,13228.0,4382.5,2032307.0,2296.15,2028412.25,3072.5,7.0,6472.599999999999,8.0,8230.149999999998,4.0,60.19999999999982,22.0,2018224.45,1.0,35.0,4562.5,6224.1,214.14999999999986,2443.5,2037116.6
10,9857.45,0.0,3906.5,1985.8999999999999,5124.75,12754.5,4492.0,39.95,20.0,164.25,1566.45,22031.75,2020-03-22,2032643.0,106.0,71.0,3227.75,37529.95,3.0,4354.5,16523.0,5832.75,2028937.0,2685.65,2023231.0,3653.0,10.0,8589.249999999993,10.0,11348.999999999993,5.0,81.04999999999995,30.0,2007721.5,2.0,46.25,5645.25,7987.9,292.14999999999986,2970.5,2035710.8
11,11269.55,1.0,4823.5,2332.4,6447.5,15262.5,5481.5,49.95,26.0,219.25,1993.85,28874.25,2020-03-23,2029862.75,141.0,94.75,3872.75,52452.24999999996,4.0,5339.5,20629.0,7296.0,2024626.0,3139.4500000000003,2016252.75,4342.0,12.0,11813.099999999995,13.0,15431.999999999998,7.0,113.24999999999977,40.0,1992371.15,2.0,61.25,7005.75,10545.549999999992,394.49999999999955,3577.75,2034130.55
12,13139.650000000001,1.0,6001.0,2753.4500000000003,8255.25,18513.25,6736.0,67.9,34.0,294.5,2499.75,37615.5,2020-03-24,2026455.5,189.5,121.75,4695.5,72756.54999999994,6.0,6616.5,25898.0,9367.5,2019357.0,3664.5,2007345.5,5216.5,16.0,16467.35,18.0,20999.55,9.0,153.14999999999986,52.5,1972695.55,3.0,83.25,8823.25,13885.149999999996,531.3999999999996,4312.5,2032157.05
13,15440.35,2.0,7516.5,3253.4,10486.0,22582.25,8304.0,87.95,44.0,398.0,3070.3,48894.25,2020-03-25,2022313.0,245.0,159.75,5808.75,100248.74999999999,8.0,8320.0,32261.0,12568.25,2012864.0,4300.6,1995657.5,6317.0,21.0,22793.849999999995,23.0,28920.299999999996,12.0,206.39999999999964,68.0,1945378.4500000002,4.0,112.25,11216.25,18875.89999999999,732.1499999999999,5274.5,2029755.1
14,18060.2,3.0,9412.0,3902.4500000000003,13692.75,27367.0,10333.5,106.0,55.75,526.5,3492.9,63816.75,2020-03-26,2017193.25,312.0,203.0,7224.5,137768.24999999994,10.0,10526.0,40328.5,16528.5,2004640.5,5078.45,1980398.5,7561.75,28.0,30638.449999999953,29.0,39388.450000000004,15.25,278.0,87.0,1906991.65,6.0,146.25,14360.5,26027.949999999997,998.05,6316.75,2026901.9500000002
15,21267.25,3.0,11823.0,4631.05,17712.25,33324.75,12785.0,132.95,71.0,674.75,3990.5,83405.75,2020-03-27,2011065.0,399.5,254.5,8819.0,188828.19999999992,13.0,13232.0,50545.0,21639.0,1994041.0,6031.599999999999,1960320.25,8962.25,39.0,40997.24999999989,36.95,52938.2,21.0,379.49999999999864,111.0,1855076.6,8.0,188.5,18418.25,35404.54999999997,1395.199999999998,7571.75,2023527.8
