,active_05,dead_05,symptoms_median,symptoms_05,symptoms_75,active_25,immune_median,hospitalized_05,icu_25,hospitalized_75,infectious_05,active_75,date,susceptible_75,hospitalized_median,hospitalized_25,infectious_25,active_95,dead_median,infectious_median,active_median,infectious_75,susceptible_median,immune_05,susceptible_25,immune_25,dead_95,symptoms_95,icu_05,infectious_95,dead_75,icu_95,icu_median,susceptible_05,dead_25,icu_75,immune_75,immune_95,hospitalized_95,symptoms_25,susceptible_95
0,0.0,0.0,399.0,0.0,427.0,1315.25,447.0,0.0,1.0,13.0,0.0,2247.5,2020-03-12,2044406.5,9.0,6.0,265.5,4102.699999999991,0.0,404.0,1745.5,624.0,2043974.5,0.0,2043289.5,384.0,0.0,512.1499999999999,0.0,1244.4499999999987,0.0,7.0,2.0,0.0,0.0,4.0,521.25,648.05,21.0,371.75,2044759.45
1,0.0,0.0,498.0,0.0,552.0,1604.75,564.0,0.0,2.0,15.0,0.0,2699.75,2020-03-13,2044098.75,10.0,7.0,359.0,4762.599999999991,0.0,542.0,2086.0,808.5,2043588.0,0.0,2042805.25,485.75,0.0,685.05,0.0,1700.2499999999989,0.0,7.0499999999999545,3.0,0.0,0.0,4.0,672.25,844.4499999999996,23.049999999999955,455.75,2044521.0
2,0.0,0.0,612.5,0.0,695.25,1956.0,713.0,0.0,2.0,16.0,0.0,3256.25,2020-03-14,2043716.75,11.0,7.0,460.75,5551.899999999996,0.0,710.5,2506.5,1031.0,2043163.5,0.0,2042230.0,601.75,0.0,899.05,0.0,2159.7499999999973,0.0,8.0,3.0,0.0,0.0,5.0,848.0,1115.05,26.0,543.0,2044230.15
3,0.0,0.0,734.5,0.0,861.25,2382.0,885.0,0.0,2.0,18.0,0.0,3968.75,2020-03-15,2043260.75,12.0,8.0,491.0,6601.599999999999,0.0,772.0,3061.5,1172.5,2042600.0,0.0,2041485.25,737.75,0.0,1126.0,0.0,2528.299999999998,0.0,9.0,3.0,0.0,0.0,5.0,1054.0,1461.2999999999997,27.049999999999955,655.75,2043876.5
4,0.0,0.0,898.0,0.0,1057.0,2789.75,1083.0,0.0,2.0,20.0,0.0,4755.0,2020-03-16,2042774.0,14.0,10.0,616.5,7666.249999999998,0.0,931.0,3654.5,1379.5,2041940.5,0.0,2040647.75,888.0,1.0,1381.5999999999995,0.0,2910.7499999999973,0.0,10.0,4.0,0.0,0.0,6.0,1297.5,1858.1,30.049999999999955,790.0,2043546.8499999999
5,0.0,0.0,1097.5,0.0,1286.25,3445.5,1305.5,0.0,3.0,25.0,0.0,5737.5,2020-03-17,2042114.25,18.0,12.0,791.0,9424.849999999993,0.0,1144.5,4430.5,1668.75,2041094.0,0.0,2039512.5,1058.0,2.0,1692.099999999999,0.0,3501.2499999999995,1.0,12.0,5.0,0.0,0.0,8.0,1584.75,2307.35,41.0,959.0,2043039.95
6,0.0,0.0,1332.0,0.0,1575.25,4265.25,1577.5,0.0,4.0,34.0,0.0,6929.25,2020-03-18,2041174.25,24.0,16.0,1031.75,11457.699999999997,1.0,1451.0,5441.5,2101.0,2040002.5,0.0,2038110.25,1263.75,3.0,2057.6999999999994,0.0,4221.299999999998,1.0,16.0,7.0,0.0,0.0,10.0,1931.0,2837.6999999999985,57.049999999999955,1156.5,2042377.15
7,0.0,0.0,1633.5,0.0,1943.5,5263.5,1907.5,0.0,6.0,46.0,0.0,8628.5,2020-03-19,2040056.0,32.0,22.0,1191.25,14192.849999999999,1.0,1739.5,6736.5,2546.0,2038564.5,0.0,2036300.75,1526.0,4.0,2583.5499999999997,0.0,4927.0,2.0,23.0,9.0,0.0,0.0,13.0,2330.25,3495.199999999999,81.04999999999995,1391.0,2041531.65
8,0.0,0.0,2004.0,0.0,2411.75,6448.5,2326.5,0.0,8.0,63.0,0.0,10672.0,2020-03-20,2038802.75,44.0,30.0,1478.25,17687.9,1.0,2162.0,8384.5,3104.25,2036775.5,0.0,2034146.75,1832.75,5.0,3313.2999999999993,0.0,5943.049999999997,3.0,32.0,13.0,0.0,0.0,18.0,2819.75,4361.749999999999,111.09999999999991,1679.0,2040587.35
9,0.0,0.0,2474.5,0.0,3009.0,7912.5,2816.5,0.0,11.0,86.25,0.0,13176.75,2020-03-21,2037223.5,58.0,40.0,1852.25,22078.5,2.0,2703.0,10357.5,3910.0,2034558.0,0.0,2031308.0,2204.25,6.0,4127.7,0.0,7472.649999999992,3.0,43.0,17.0,0.0,1.0,25.0,3459.75,5441.699999999999,149.29999999999973,2038.75,2039450.0499999998
